region,class_code,class,area_ha,pct,indicator
Laayoune-Saguia Hamra,-1,Degraded,1280844.9507739844,9.343515032611302,SDG 15.3.1 baseline
Laayoune-Saguia Hamra,0,Stable,12317972.935270272,89.857219035332,SDG 15.3.1 baseline
Laayoune-Saguia Hamra,1,Improved,109566.44579982809,0.7992659320566988,SDG 15.3.1 baseline
Marrakech-Safi,-1,Degraded,1084498.4612467082,27.15507488390625,SDG 15.3.1 baseline
Marrakech-Safi,0,Stable,2764212.4753537974,69.21392647894646,SDG 15.3.1 baseline
Marrakech-Safi,1,Improved,145012.02635640354,3.6309986371472847,SDG 15.3.1 baseline
Oriental,-1,Degraded,987371.805315339,14.822129408842157,SDG 15.3.1 baseline
Oriental,0,Stable,5029858.436977585,75.50672630076579,SDG 15.3.1 baseline
Oriental,1,Improved,644240.4417123129,9.671144290392053,SDG 15.3.1 baseline
Rabat-Sale-Kenitra,-1,Degraded,343755.75493626297,20.686403655293653,SDG 15.3.1 baseline
Rabat-Sale-Kenitra,0,Stable,1287271.312650059,77.46492561934336,SDG 15.3.1 baseline
Rabat-Sale-Kenitra,1,Improved,30720.23592960785,1.8486707253629893,SDG 15.3.1 baseline
Souss Massa,-1,Degraded,342421.9202758689,6.568611842536096,SDG 15.3.1 baseline
Souss Massa,0,Stable,4554303.631196143,87.36430407924537,SDG 15.3.1 baseline
Souss Massa,1,Improved,316277.26380260993,6.067084078218522,SDG 15.3.1 baseline
Tanger-Tetouan-Hoceima,-1,Degraded,362317.39767580346,23.896817034887775,SDG 15.3.1 baseline
Tanger-Tetouan-Hoceima,0,Stable,1083554.1072729195,71.46632873553385,SDG 15.3.1 baseline
Tanger-Tetouan-Hoceima,1,Improved,70302.79201661762,4.636854229578377,SDG 15.3.1 baseline
