region,class_code,class,area_ha,pct,indicator,year
Dakhla-Oued Eddahab,-1,Degraded,2155277.5500286287,16.947286302780636,SDG 15.3.1 2022,2022
Dakhla-Oued Eddahab,0,Stable,10562260.299526673,83.05271369721936,SDG 15.3.1 2022,2022
Daraa-Tafilelt,-1,Degraded,1919768.3748522878,23.669074216491296,SDG 15.3.1 2022,2022
Daraa-Tafilelt,0,Stable,5756643.69199293,70.97440950091747,SDG 15.3.1 2022,2022
Daraa-Tafilelt,1,Improved,434460.1932734309,5.356516282591232,SDG 15.3.1 2022,2022
Fes-Meknes,-1,Degraded,2156801.599746037,56.11492117765148,SDG 15.3.1 2022,2022
Fes-Meknes,0,Stable,1606655.7140371506,41.80141500425171,SDG 15.3.1 2022,2022
Fes-Meknes,1,Improved,80086.5324567892,2.0836638180968183,SDG 15.3.1 2022,2022
Guelmim-Oued Noun,-1,Degraded,2075112.9860198998,42.02950263464002,SDG 15.3.1 2022,2022
Guelmim-Oued Noun,0,Stable,2796176.132443425,56.63397266423423,SDG 15.3.1 2022,2022
Guelmim-Oued Noun,1,Improved,65987.92727936272,1.33652470112575,SDG 15.3.1 2022,2022
Laayoune-Saguia Hamra,-1,Degraded,3280607.5441073724,23.91683513142537,SDG 15.3.1 2022,2022
Laayoune-Saguia Hamra,0,Stable,10363111.165557025,75.55089045638941,SDG 15.3.1 2022,2022
Laayoune-Saguia Hamra,1,Improved,73010.64051973053,0.5322744121852231,SDG 15.3.1 2022,2022
Marrakech-Safi,-1,Degraded,3180404.6683877488,79.57918755574336,SDG 15.3.1 2022,2022
Marrakech-Safi,0,Stable,770805.1909588976,19.286869834508817,SDG 15.3.1 2022,2022
Marrakech-Safi,1,Improved,45318.33611897058,1.1339426097478276,SDG 15.3.1 2022,2022
Oriental,-1,Degraded,4950715.782410001,74.24148107471906,SDG 15.3.1 2022,2022
Oriental,0,Stable,1641603.7940330133,24.61767194148244,SDG 15.3.1 2022,2022
Oriental,1,Improved,76076.1919919363,1.1408469837984905,SDG 15.3.1 2022,2022
Rabat-Sale-Kenitra,-1,Degraded,842786.092668849,50.67587161845199,SDG 15.3.1 2022,2022
Rabat-Sale-Kenitra,0,Stable,804951.132544678,48.40089390035727,SDG 15.3.1 2022,2022
Rabat-Sale-Kenitra,1,Improved,15354.233803382353,0.9232344811907449,SDG 15.3.1 2022,2022
Souss Massa,-1,Degraded,3561936.1750372327,68.32785213383522,SDG 15.3.1 2022,2022
Souss Massa,0,Stable,1614685.608707408,30.974165199138707,SDG 15.3.1 2022,2022
Souss Massa,1,Improved,36385.889993431374,0.6979826670260832,SDG 15.3.1 2022,2022
Tanger-Tetouan-Hoceima,-1,Degraded,436660.02754289226,28.647516824187996,SDG 15.3.1 2022,2022
Tanger-Tetouan-Hoceima,0,Stable,1033197.7376990044,67.7839685487076,SDG 15.3.1 2022,2022
Tanger-Tetouan-Hoceima,1,Improved,54393.11563796563,3.5685146271044053,SDG 15.3.1 2022,2022
Beni Mellal-Khenifra,-1,Degraded,2088650.4042878752,72.28252468657789,SDG 15.3.1 2023,2023
Beni Mellal-Khenifra,0,Stable,765194.4977408582,26.481305851586562,SDG 15.3.1 2023,2023
Beni Mellal-Khenifra,1,Improved,35719.917883700975,1.2361694618355519,SDG 15.3.1 2023,2023
Casablanca-Settat,-1,Degraded,1635422.958515928,82.24129092008037,SDG 15.3.1 2023,2023
Casablanca-Settat,0,Stable,350285.7646066913,17.614986583240583,SDG 15.3.1 2023,2023
Casablanca-Settat,1,Improved,2858.017768137255,0.14372249667904222,SDG 15.3.1 2023,2023
Dakhla-Oued Eddahab,-1,Degraded,1250705.7798725497,9.83442558074435,SDG 15.3.1 2023,2023
Dakhla-Oued Eddahab,0,Stable,11466923.425857697,90.16557441925565,SDG 15.3.1 2023,2023
Daraa-Tafilelt,-1,Degraded,1902720.060469957,23.4588833290555,SDG 15.3.1 2023,2023
Daraa-Tafilelt,0,Stable,5751069.148415466,70.90568022743521,SDG 15.3.1 2023,2023
Daraa-Tafilelt,1,Improved,457083.05123321054,5.635436443509284,SDG 15.3.1 2023,2023
Fes-Meknes,-1,Degraded,2644723.6569335186,68.80950921168144,SDG 15.3.1 2023,2023
Fes-Meknes,0,Stable,1123180.6117253888,29.222526310559978,SDG 15.3.1 2023,2023
Fes-Meknes,1,Improved,75639.57758107841,1.9679644777585705,SDG 15.3.1 2023,2023
Guelmim-Oued Noun,-1,Degraded,2318160.1615712736,46.950543039881026,SDG 15.3.1 2023,2023
Guelmim-Oued Noun,0,Stable,2559066.2590545705,51.82970207555042,SDG 15.3.1 2023,2023
Guelmim-Oued Noun,1,Improved,60224.80246686278,1.2197548845685473,SDG 15.3.1 2023,2023
Laayoune-Saguia Hamra,-1,Degraded,2966989.8488538307,21.630446352768747,SDG 15.3.1 2023,2023
Laayoune-Saguia Hamra,0,Stable,10684349.205410575,77.89283215483842,SDG 15.3.1 2023,2023
Laayoune-Saguia Hamra,1,Improved,65390.598307230546,0.4767214923928387,SDG 15.3.1 2023,2023
Marrakech-Safi,-1,Degraded,3290175.181589816,82.3272226429318,SDG 15.3.1 2023,2023
Marrakech-Safi,0,Stable,665454.2903200758,16.65109013782144,SDG 15.3.1 2023,2023
Marrakech-Safi,1,Improved,40831.32922742645,1.021687219246755,SDG 15.3.1 2023,2023
Oriental,-1,Degraded,5566992.864877536,83.48109088432896,SDG 15.3.1 2023,2023
Oriental,0,Stable,1068746.9619134557,16.026634922193374,SDG 15.3.1 2023,2023
Oriental,1,Improved,32827.63669740197,0.49227419347767243,SDG 15.3.1 2023,2023
Rabat-Sale-Kenitra,-1,Degraded,1047830.6047844131,62.99873993559499,SDG 15.3.1 2023,2023
Rabat-Sale-Kenitra,0,Stable,602340.400008967,36.21452364494979,SDG 15.3.1 2023,2023
Rabat-Sale-Kenitra,1,Improved,13085.444233431366,0.7867364194552076,SDG 15.3.1 2023,2023
Souss Massa,-1,Degraded,3439296.594915289,65.97300964598281,SDG 15.3.1 2023,2023
Souss Massa,0,Stable,1730432.900850007,33.193376409665355,SDG 15.3.1 2023,2023
Souss Massa,1,Improved,43457.85671546569,0.8336139443518314,SDG 15.3.1 2023,2023
Tanger-Tetouan-Hoceima,-1,Degraded,574238.2803069801,37.6801849791324,SDG 15.3.1 2023,2023
Tanger-Tetouan-Hoceima,0,Stable,896673.7670471199,58.837654275171204,SDG 15.3.1 2023,2023
Tanger-Tetouan-Hoceima,1,Improved,53067.414596519564,3.482160745696392,SDG 15.3.1 2023,2023
Beni Mellal-Khenifra,-1,Degraded,2381276.4157776176,82.4095171483216,SDG 15.3.1 2024,2024
Beni Mellal-Khenifra,0,Stable,484447.7577083851,16.765422750511735,SDG 15.3.1 2024,2024
Beni Mellal-Khenifra,1,Improved,23840.64642644607,0.825060101166667,SDG 15.3.1 2024,2024
Casablanca-Settat,-1,Degraded,1835822.357170601,92.31500470085767,SDG 15.3.1 2024,2024
Casablanca-Settat,0,Stable,151806.0915707838,7.633625335391553,SDG 15.3.1 2024,2024
Casablanca-Settat,1,Improved,1021.5687931372547,0.0513699637507745,SDG 15.3.1 2024,2024
Dakhla-Oued Eddahab,-1,Degraded,1796703.4165723794,14.127658010743417,SDG 15.3.1 2024,2024
Dakhla-Oued Eddahab,0,Stable,10920927.596339112,85.87234198925658,SDG 15.3.1 2024,2024
Daraa-Tafilelt,-1,Degraded,1723524.3672301015,21.249556298706867,SDG 15.3.1 2024,2024
Daraa-Tafilelt,0,Stable,5907284.183710344,72.83167573426881,SDG 15.3.1 2024,2024
Daraa-Tafilelt,1,Improved,480063.70917816187,5.918767967024323,SDG 15.3.1 2024,2024
Fes-Meknes,-1,Degraded,2898217.463336586,75.40482375846483,SDG 15.3.1 2024,2024
Fes-Meknes,0,Stable,883251.4515313223,22.980132056913497,SDG 15.3.1 2024,2024
Fes-Meknes,1,Improved,62074.93137208328,1.615044184621676,SDG 15.3.1 2024,2024
Guelmim-Oued Noun,-1,Degraded,2952970.71320306,59.807592617662195,SDG 15.3.1 2024,2024
Guelmim-Oued Noun,0,Stable,1972499.592868976,39.949753501229544,SDG 15.3.1 2024,2024
Guelmim-Oued Noun,1,Improved,11980.917020661767,0.24265388110826172,SDG 15.3.1 2024,2024
Laayoune-Saguia Hamra,-1,Degraded,3754316.449063004,27.370346607065592,SDG 15.3.1 2024,2024
Laayoune-Saguia Hamra,0,Stable,9909905.180564135,72.24685060922084,SDG 15.3.1 2024,2024
